id;route_code;distance_km;created_at;updated_at;is_deleted;deleted_at;deleted_by;origin_id;destination_id
1000;BUBNGBNHDN_BCLIUBCLIU;;2025-09-28 08:57:42;;false;;\N;1503;1600
1001;NGHIQUNGBN_BINHANGNAI;;2025-09-28 08:57:42;;false;;\N;1506;1507
1002;QUNGTRCHQU_BUNMATHUTK;;2025-09-28 08:57:42;;false;;\N;1506;1508
1003;SIGN_CHUTHNHSCT;;2025-09-28 08:57:42;;false;;\N;1504;1571
1004;BTRCHQUNGB_HLONGQUNGN;;2025-09-28 08:57:42;;false;;\N;1506;1509
1005;QUNGTRCHQU_HMTNBNHTHU;;2025-09-28 08:57:42;;false;;\N;1506;1511
1006;BTRCHQUNGB_GIALCHIDNG;;2025-09-28 08:57:42;;false;;\N;1506;1513
1007;BNXECLINH_SIGN;;2025-09-28 08:57:42;;false;;\N;1637;1549
1008;QUNGTRCHQU_QUYNHNBNHN;;2025-09-28 08:57:42;;false;;\N;1506;1514
1009;BNXECLINH_SIGN;;2025-09-28 08:57:42;;false;;\N;1637;1550
1010;QUNGTRCHQU_QUNGNGIQUN;;2025-09-28 08:57:42;;false;;\N;1506;1515
1011;BNTREBNTRE_NGXOIBNHPH;;2025-09-28 08:57:42;;false;;\N;1505;1547
1012;NGHIQUNGBN_THIBNHTHIB;;2025-09-28 08:57:42;;false;;\N;1506;1516
1013;SIGN_THINGUYNTH;;2025-09-28 08:57:42;;false;;\N;1504;1578
1014;BNXEBATRI_SIGN;;2025-09-28 08:57:42;;false;;\N;1505;1549
1015;BNXEBATRI_SIGN;;2025-09-28 08:57:42;;false;;\N;1505;1550
1016;BTRCHQUNGB_CTHIHIPHNG;;2025-09-28 08:57:42;;false;;\N;1506;1519
1017;BNXEANSNG_TNCHU;;2025-09-28 08:57:42;;false;;\N;1504;1584
1018;BNXECLINH_SIGN;;2025-09-28 08:57:42;;false;;\N;1637;1558
1019;NGHIQUNGBN_HNI;;2025-09-28 08:57:42;;false;;\N;1506;1524
1020;QUNGTRCHQU_GIANGHAKNN;;2025-09-28 08:57:42;;false;;\N;1506;1525
1021;SIGN_GDUTYNINH;;2025-09-28 08:57:42;;false;;\N;1504;1588
1022;NGHIQUNGBN_NAMNHNAMNH;;2025-09-28 08:57:42;;false;;\N;1506;1526
1023;BNXEBATRI_SIGN;;2025-09-28 08:57:42;;false;;\N;1505;1558
1024;NGHIQUNGBN_CHUTHNHTIN;;2025-09-28 08:57:42;;false;;\N;1506;1527
1025;SIGN_PHLHNAM;;2025-09-28 08:57:42;;false;;\N;1504;1591
1026;NGHIQUNGBN_HTNHHTNH;;2025-09-28 08:57:42;;false;;\N;1506;1530
1027;BINHANGNAI_PHMBRAVNGT;;2025-09-28 08:57:42;;false;;\N;1507;1500
1028;BTRCHQUNGB_HNGYNHNGYN;;2025-09-28 08:57:42;;false;;\N;1506;1532
1029;BINHANGNAI_CIRNGCNTH;;2025-09-28 08:57:42;;false;;\N;1507;1502
1030;QUNGTRCHQU_LTLMNG;;2025-09-28 08:57:42;;false;;\N;1506;1533
1031;BNXEBAN_NNG;;2025-09-28 08:57:42;;false;;\N;1506;1534
1032;LONGKHNHNG_THUNANBNHD;;2025-09-28 08:57:42;;false;;\N;1507;1503
1033;SIGN_BCGIANGBCG;;2025-09-28 08:57:42;;false;;\N;1504;1596
1034;THNGNHTNGN_SIGN;;2025-09-28 08:57:42;;false;;\N;1507;1504
1035;BNXEBINHA_BNTRE;;2025-09-28 08:57:42;;false;;\N;1507;1505
1036;NGHIQUNGBN_NINHBNHNIN;;2025-09-28 08:57:42;;false;;\N;1506;1536
1037;BINHANGNAI_NGHIQUNGBN;;2025-09-28 08:57:42;;false;;\N;1507;1506
1038;NGHIQUNGBN_THANHHATHA;;2025-09-28 08:57:42;;false;;\N;1506;1537
1039;SIGN_BCLIUBCLIU;;2025-09-28 08:57:42;;false;;\N;1504;1600
1040;LONGKHNHNG_THNGNHTNGN;;2025-09-28 08:57:42;;false;;\N;1507;1507
1041;XUNLCNGNAI_BUNMATHUTK;;2025-09-28 08:57:42;;false;;\N;1507;1508
1042;NGHIQUNGBN_KONTUMKONT;;2025-09-28 08:57:42;;false;;\N;1506;1539
1043;THNGNHTNGN_PHANTHITBN;;2025-09-28 08:57:42;;false;;\N;1507;1511
1044;TRNGBOMNGN_THANHMINHI;;2025-09-28 08:57:42;;false;;\N;1507;1513
1045;THNGNHTNGN_QUYNHNBNHN;;2025-09-28 08:57:42;;false;;\N;1507;1514
1046;NGHIQUNGBN_CAOLCLNGSN;;2025-09-28 08:57:42;;false;;\N;1506;1545
1047;THNGNHTNGN_QUNGNGIQUN;;2025-09-28 08:57:42;;false;;\N;1507;1515
1048;QUNGTRCHQU_NGXOIBNHPH;;2025-09-28 08:57:42;;false;;\N;1506;1547
1049;BNXEANSNG_HIHU;;2025-09-28 08:57:42;;false;;\N;1504;1610
1050;TNPHNGNAI_CMAUCMAU;;2025-09-28 08:57:42;;false;;\N;1507;1517
1051;BNXEBAN_SIGN;;2025-09-28 08:57:42;;false;;\N;1506;1549
1052;BNXEBAN_SIGN;;2025-09-28 08:57:42;;false;;\N;1506;1550
1053;BNXEBINHA_TRVINH;;2025-09-28 08:57:42;;false;;\N;1507;1521
1054;BINHANGNAI_HNI;;2025-09-28 08:57:42;;false;;\N;1507;1524
1055;XUNLCNGNAI_KRLPKNNG;;2025-09-28 08:57:42;;false;;\N;1507;1525
1056;NGHIQUNGBN_VINHNGHAN;;2025-09-28 08:57:42;;false;;\N;1506;1556
1057;THNHPHBNTR_TYNINHTYNI;;2025-09-28 08:57:42;;false;;\N;1505;1588
1058;BNXEBAN_SIGN;;2025-09-28 08:57:42;;false;;\N;1506;1558
1059;BINHANGNAI_CIBTINGIAN;;2025-09-28 08:57:42;;false;;\N;1507;1527
1060;THNGNHTNGN_HTINKINGIA;;2025-09-28 08:57:42;;false;;\N;1507;1529
1061;BINHANGNAI_HTNHHTNH;;2025-09-28 08:57:42;;false;;\N;1507;1530
1062;EAKARKLK_PHMBRAVNGT;;2025-09-28 08:57:42;;false;;\N;1508;1500
1063;NGHIQUNGBN_VITTRPHTH;;2025-09-28 08:57:42;;false;;\N;1506;1562
1064;BUNMATHUTK_CHSGIALAI;;2025-09-28 08:57:42;;false;;\N;1508;1501
1065;TRNGBOMNGN_HNGYNHNGYN;;2025-09-28 08:57:42;;false;;\N;1507;1532
1066;BINHANGNAI_BOLCLMNG;;2025-09-28 08:57:42;;false;;\N;1507;1533
1067;EAKARKLK_CIRNGCNTH;;2025-09-28 08:57:42;;false;;\N;1508;1502
1068;THNGNHTNGN_LINCHIUNNG;;2025-09-28 08:57:42;;false;;\N;1507;1534
1069;MRKKLK_PHGIOBNHDN;;2025-09-28 08:57:42;;false;;\N;1508;1503
1070;BNXEBUNMAT_SIGN;;2025-09-28 08:57:42;;false;;\N;1508;1504
1071;TNPHNGNAI_LONGXUYNAN;;2025-09-28 08:57:42;;false;;\N;1507;1535
1072;EAHLEOKLK_BNTREBNTRE;;2025-09-28 08:57:42;;false;;\N;1508;1505
1073;BINHANGNAI_NINHBNHNIN;;2025-09-28 08:57:42;;false;;\N;1507;1536
1074;BINHANGNAI_THANHHATHA;;2025-09-28 08:57:42;;false;;\N;1507;1537
1075;MRKKLK_BINHANGNAI;;2025-09-28 08:57:42;;false;;\N;1508;1507
1076;BUNMATHUTK_BUNHKLK;;2025-09-28 08:57:42;;false;;\N;1508;1508
1077;BUNMATHUTK_PHANTHITBN;;2025-09-28 08:57:42;;false;;\N;1508;1511
1078;BINHANGNAI_CAOLCLNGSN;;2025-09-28 08:57:42;;false;;\N;1507;1545
1079;BUNMATHUTK_QUYNHNBNHN;;2025-09-28 08:57:42;;false;;\N;1508;1514
1080;BUNMATHUTK_QUNGNGIQUN;;2025-09-28 08:57:42;;false;;\N;1508;1515
1081;XUNLCNGNAI_NGXOIBNHPH;;2025-09-28 08:57:42;;false;;\N;1507;1547
1082;BTRCHQUNGB_PHYNTHINGU;;2025-09-28 08:57:42;;false;;\N;1506;1578
1083;EAKARKLK_CMAUCMAU;;2025-09-28 08:57:42;;false;;\N;1508;1517
1084;THNGNHTNGN_SIGN;;2025-09-28 08:57:42;;false;;\N;1507;1549
1085;LONGKHNHNG_SIGN;;2025-09-28 08:57:42;;false;;\N;1507;1550
1086;EAHLEOKLK_TRVINHTRVI;;2025-09-28 08:57:42;;false;;\N;1508;1521
1087;BNXEBUNMAT_HNI;;2025-09-28 08:57:42;;false;;\N;1508;1524
1088;KRNGNNGKLK_GIANGHAKNN;;2025-09-28 08:57:42;;false;;\N;1508;1525
1089;BINHANGNAI_VINHNGHAN;;2025-09-28 08:57:42;;false;;\N;1507;1556
1090;THNGNHTNGN_SIGN;;2025-09-28 08:57:42;;false;;\N;1507;1558
1091;EAHLEOKLK_MTHOTINGIA;;2025-09-28 08:57:42;;false;;\N;1508;1527
1092;NGHIQUNGBN_PHLHNAM;;2025-09-28 08:57:42;;false;;\N;1506;1591
1093;BUNMATHUTK_LTLMNG;;2025-09-28 08:57:42;;false;;\N;1508;1533
1094;BUNMATHUTK_LINCHIUNNG;;2025-09-28 08:57:42;;false;;\N;1508;1534
1095;NGHIQUNGBN_BCGIANGBCG;;2025-09-28 08:57:42;;false;;\N;1506;1596
1096;BUNMATHUTK_CHMIANGIAN;;2025-09-28 08:57:42;;false;;\N;1508;1535
1097;MNGCIQUNGN_SIGN;;2025-09-28 08:57:42;;false;;\N;1509;1504
1098;VNNQUNGNIN_BTRCHQUNGB;;2025-09-28 08:57:42;;false;;\N;1509;1506
1099;BUNMATHUTK_KONTUMKONT;;2025-09-28 08:57:42;;false;;\N;1508;1539
1100;BINHANGNAI_CHUTHNHSCT;;2025-09-28 08:57:42;;false;;\N;1507;1571
1101;MNGCIQUNGN_HIHQUNGNIN;;2025-09-28 08:57:42;;false;;\N;1509;1509
1102;MNGCIQUNGN_CHLINHHIDN;;2025-09-28 08:57:42;;false;;\N;1509;1513
1103;MRKKLK_BNGBNHPHC;;2025-09-28 08:57:42;;false;;\N;1508;1547
1104;CMPHQUNGNI_THIBNHTHIB;;2025-09-28 08:57:42;;false;;\N;1509;1516
1105;BNXEBUNMAT_SIGN;;2025-09-28 08:57:42;;false;;\N;1508;1549
1106;BNXEBUNMAT_SIGN;;2025-09-28 08:57:42;;false;;\N;1508;1550
1107;HLONGQUNGN_CTBHIPHNG;;2025-09-28 08:57:42;;false;;\N;1509;1519
1108;HLONGQUNGN_HNI;;2025-09-28 08:57:42;;false;;\N;1509;1524
1109;KRNGBKKLK_YNTHNHNGHA;;2025-09-28 08:57:42;;false;;\N;1508;1556
1110;VNNQUNGNIN_NAMNHNAMNH;;2025-09-28 08:57:42;;false;;\N;1509;1526
1111;BNXEBUNMAT_SIGN;;2025-09-28 08:57:42;;false;;\N;1508;1558
1112;CMPHQUNGNI_HGIANGHGIA;;2025-09-28 08:57:42;;false;;\N;1509;1528
1113;BINHANGNAI_PHLHNAM;;2025-09-28 08:57:42;;false;;\N;1507;1591
1114;BNXEBUNMAT_PHANTHIT;;2025-09-28 08:57:42;;false;;\N;1508;1561
1115;VNNQUNGNIN_HTNHHTNH;;2025-09-28 08:57:42;;false;;\N;1509;1530
1116;HLONGQUNGN_HNGYNHNGYN;;2025-09-28 08:57:42;;false;;\N;1509;1532
1117;BINHANGNAI_BCGIANGBCG;;2025-09-28 08:57:42;;false;;\N;1507;1596
1118;VNNQUNGNIN_SNTRNNG;;2025-09-28 08:57:42;;false;;\N;1509;1534
1119;BNXEBNHCHU_SIGN;;2025-09-28 08:57:42;;false;;\N;1510;1504
1120;VNNQUNGNIN_HOALNINHBN;;2025-09-28 08:57:42;;false;;\N;1509;1536
