id,name,created_at,updated_at,is_deleted,deleted_at,deleted_by
8524410231594979143,SM-34A-44444,2025-09-28 19:35:21,,false,,
5200691527079778992,SM-35A-55555,2025-09-28 19:35:21,,false,,
7198382340439916074,SM-36A-66666,2025-09-28 19:35:21,,false,,
6232133452994115229,SM-37A-77777,2025-09-28 19:35:21,,false,,
7375380166942017787,SM-38A-88888,2025-09-28 19:35:21,,false,,
6811729853757179163,SM-39A-99999,2025-09-28 19:35:21,,false,,
4816760989592484906,SM-40A-00000,2025-09-28 19:35:21,,false,,
2606483912549279805,SM-41A-11111,2025-09-28 19:35:21,,false,,
1832568303242659402,SM-42A-22222,2025-09-28 19:35:21,,false,,
1958491422393149089,SM-43A-33333,2025-09-28 19:35:21,,false,,
