id,staff_id,license_class,years_experience,created_at,updated_at,is_deleted,deleted_at,deleted_by
3093299385957760529,6732930712945861875,D,12,2025-09-28 19:35:07,,false,,
5021608952522960017,7450710867508409978,E,18,2025-09-28 19:35:07,,false,,
4582649998490551985,6001081512844593038,D,9,2025-09-28 19:35:07,,false,,
3427395019435979180,5655306225855241597,E,14,2025-09-28 19:35:07,,false,,
7193360587724344483,258878848914553406,D,16,2025-09-28 19:35:07,,false,,
1539286742869886835,7219904614500404644,E,11,2025-09-28 19:35:07,,false,,
6469212838875517939,2843442799050097953,D,13,2025-09-28 19:35:07,,false,,
9159468287980612185,2166538937263068645,E,17,2025-09-28 19:35:07,,false,,
1535234446171032897,2626196021750587116,D,10,2025-09-28 19:35:07,,false,,
3243165159093525543,6145647435857658165,E,15,2025-09-28 19:35:07,,false,,
